Parameters,Total Reward,Total Profit
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.05, 0.8, 0.1)",0.0,1.0
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.05, 0.8, 0.0001)",15.860395431518555,0.02885648236390695
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.05, 0.95, 0.0001)",25.874637603759766,0.34074963549711507
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.2, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.2, 0.8, 0.0001)",28.470455169677734,0.0661022807351458
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.2, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 200, 4, 32, {'net_arch': [50]}, 0.2, 0.95, 0.0001)",37.22594451904297,0.07049064959642419
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.0001)",34.91183280944824,0.07647736072303976
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.0001)",8.67624282836914,0.4656821007934997
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.1)",0.0,1.0
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.0001)",50.17318534851074,0.0435790658704958
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 200, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.95, 0.0001)",33.61978530883789,0.292204299002899
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.05, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.05, 0.8, 0.0001)",22.366619110107422,0.11854591736189334
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.05, 0.95, 0.0001)",63.07002639770508,0.14428642566521988
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.2, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.2, 0.8, 0.0001)",1.1789169311523438,0.9177350775608295
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.2, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 1, 4, {'net_arch': [50]}, 0.2, 0.95, 0.0001)",14.762763977050781,0.14373188242681412
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.8, 0.1)",0.0,1.0
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.8, 0.0001)",26.34035873413086,0.4522057242212692
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.95, 0.0001)",40.150333404541016,0.06053921174915145
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.8, 0.1)",0.0,1.0
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.8, 0.0001)",22.951549530029297,0.05175190208930098
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 4, {'net_arch': [50, 100]}, 0.2, 0.95, 0.0001)",50.525991439819336,0.9964661296132393
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.05, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.05, 0.8, 0.0001)",16.608257293701172,0.04383055352057024
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.05, 0.95, 0.0001)",-19.52425193786621,0.05407316163814043
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.2, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.2, 0.8, 0.0001)",39.60611343383789,0.09928359049792099
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.2, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50]}, 0.2, 0.95, 0.0001)",49.5938720703125,0.1283478082215732
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.0001)",59.353424072265625,0.17680800980924866
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.0001)",37.99140930175781,0.09801011904976908
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.0001)",24.380664825439453,0.1319050760750048
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.2, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 1, 32, {'net_arch': [50, 100]}, 0.2, 0.95, 0.0001)",47.0020751953125,0.1091369813589537
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.05, 0.8, 0.1)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.05, 0.8, 0.0001)",6.7914581298828125,1.092098128212899
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.05, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.05, 0.95, 0.0001)",3.278026580810547,1.047066580419883
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.2, 0.8, 0.1)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.2, 0.8, 0.0001)",-0.5703773498535156,0.13307336504880163
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.2, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50]}, 0.2, 0.95, 0.0001)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.05, 0.8, 0.1)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.05, 0.8, 0.0001)",43.13931465148926,0.12833791461533572
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.05, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.05, 0.95, 0.0001)",41.190683364868164,0.027518382175177433
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.2, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.2, 0.8, 0.0001)",12.704719543457031,1.1694832231421346
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.2, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 4, 4, {'net_arch': [50, 100]}, 0.2, 0.95, 0.0001)",10.273490905761719,0.19250980838793783
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.05, 0.8, 0.1)",0.0,1.0
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.05, 0.8, 0.0001)",13.180267333984375,0.043335264222398744
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.05, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.05, 0.95, 0.0001)",16.328493118286133,0.20137996807314154
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.2, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.2, 0.8, 0.0001)",70.0456371307373,0.03758128296609194
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.2, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 4, 32, {'net_arch': [50]}, 0.2, 0.95, 0.0001)",10.062326431274414,0.018726848192602803
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.1)",0.0,2.005963392114493
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.8, 0.0001)",64.25430297851562,0.0640010358643495
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.1)",0.0,1.0
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.05, 0.95, 0.0001)",33.507049560546875,0.25563124955007915
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.1)",0.0,1.0
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.8, 0.0001)",74.34504890441895,0.050983331507567994
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.95, 0.1)",0.0,2.005963392114493
"(5000, 1000, 4, 32, {'net_arch': [50, 100]}, 0.2, 0.95, 0.0001)",39.12872123718262,0.0443086401559081
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.05, 0.8, 0.1)",0.0,2.005963392114493
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.05, 0.8, 0.0001)",62.53518867492676,0.10368428402956974
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.05, 0.95, 0.1)",0.0,2.005963392114493
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.05, 0.95, 0.0001)",-8.34274673461914,0.08453509711950949
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.2, 0.8, 0.1)",0.0,1.0
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.2, 0.8, 0.0001)",25.304460525512695,0.3589510123163471
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.2, 0.95, 0.1)",0.0,1.0
"(20000, 200, 1, 4, {'net_arch': [50]}, 0.2, 0.95, 0.0001)",10.802318572998047,1.155404554919512
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.8, 0.1)",0.0,1.0
"(20000, 200, 1, 4, {'net_arch': [50, 100]}, 0.05, 0.8, 0.0001)",29.704463958740234,0.14020755881155603
